Index,Concept Code,Concept Name,Preferred Concept Name
0,01001,Autauga,"Autauga, AL"
1,01003,Baldwin,"Baldwin, AL"
2,01005,Barbour,"Barbour, AL"
3,01007,Bibb,"Bibb, AL"
4,01009,Blount,"Blount, AL"
5,01011,Bullock,"Bullock, AL"
6,01013,Butler,"Butler, AL"
7,01015,Calhoun,"Calhoun, AL"
8,01017,Chambers,"Chambers, AL"
9,01019,Cherokee,"Cherokee, AL"
10,01021,Chilton,"Chilton, AL"
11,01023,Choctaw,"Choctaw, AL"
12,01025,Clarke,"Clarke, AL"
13,01027,Clay,"Clay, AL"
14,01029,Cleburne,"Cleburne, AL"
15,01031,Coffee,"Coffee, AL"
16,01033,Colbert,"Colbert, AL"
17,01035,Conecuh,"Conecuh, AL"
18,01037,Coosa,"Coosa, AL"
19,01039,Covington,"Covington, AL"
20,01041,Crenshaw,"Crenshaw, AL"
21,01043,Cullman,"Cullman, AL"
22,01045,Dale,"Dale, AL"
23,01047,Dallas,"Dallas, AL"
24,01049,DeKalb,"DeKalb, AL"
25,01051,Elmore,"Elmore, AL"
26,01053,Escambia,"Escambia, AL"
27,01055,Etowah,"Etowah, AL"
28,01057,Fayette,"Fayette, AL"
29,01059,Franklin,"Franklin, AL"
30,01061,Geneva,"Geneva, AL"
31,01063,Greene,"Greene, AL"
32,01065,Hale,"Hale, AL"
33,01067,Henry,"Henry, AL"
34,01069,Houston,"Houston, AL"
35,01071,Jackson,"Jackson, AL"
36,01073,Jefferson,"Jefferson, AL"
37,01075,Lamar,"Lamar, AL"
38,01077,Lauderdale,"Lauderdale, AL"
39,01079,Lawrence,"Lawrence, AL"
40,01081,Lee,"Lee, AL"
41,01083,Limestone,"Limestone, AL"
42,01085,Lowndes,"Lowndes, AL"
43,01087,Macon,"Macon, AL"
44,01089,Madison,"Madison, AL"
45,01091,Marengo,"Marengo, AL"
46,01093,Marion,"Marion, AL"
47,01095,Marshall,"Marshall, AL"
48,01097,Mobile,"Mobile, AL"
49,01099,Monroe,"Monroe, AL"
50,01101,Montgomery,"Montgomery, AL"
51,01103,Morgan,"Morgan, AL"
52,01105,Perry,"Perry, AL"
53,01107,Pickens,"Pickens, AL"
54,01109,Pike,"Pike, AL"
55,01111,Randolph,"Randolph, AL"
56,01113,Russell,"Russell, AL"
57,01115,St. Clair,"St. Clair, AL"
58,01117,Shelby,"Shelby, AL"
59,01119,Sumter,"Sumter, AL"
60,01121,Talladega,"Talladega, AL"
61,01123,Tallapoosa,"Tallapoosa, AL"
62,01125,Tuscaloosa,"Tuscaloosa, AL"
63,01127,Walker,"Walker, AL"
64,01129,Washington,"Washington, AL"
65,01131,Wilcox,"Wilcox, AL"
66,01133,Winston,"Winston, AL"
67,02013,Aleutians East Borough,"Aleutians East Borough, AK"
68,02016,Aleutians West Census Area,"Aleutians West Census Area, AK"
69,02020,Anchorage Municipality,"Anchorage Municipality, AK"
70,02050,Bethel Census Area,"Bethel Census Area, AK"
71,02060,Bristol Bay Borough,"Bristol Bay Borough, AK"
72,02068,Denali Borough,"Denali Borough, AK"
73,02070,Dillingham Census Area,"Dillingham Census Area, AK"
74,02090,Fairbanks North Star Borough,"Fairbanks North Star Borough, AK"
75,02100,Haines Borough,"Haines Borough, AK"
76,02105,Hoonah-Angoon Census Area,"Hoonah-Angoon Census Area, AK"
77,02110,Juneau City and Borough,"Juneau City and Borough, AK"
78,02122,Kenai Peninsula Borough,"Kenai Peninsula Borough, AK"
79,02130,Ketchikan Gateway Borough,"Ketchikan Gateway Borough, AK"
80,02150,Kodiak Island Borough,"Kodiak Island Borough, AK"
81,02158,Kusilvak (CA),"Kusilvak Census Area, AK"
82,02164,Lake and Peninsula Borough,"Lake and Peninsula Borough, AK"
83,02170,Matanuska-Susitna Borough,"Matanuska-Susitna Borough, AK"
84,02180,Nome Census Area,"Nome Census Area, AK"
85,02185,North Slope Borough,"North Slope Borough, AK"
86,02188,Northwest Arctic Borough,"Northwest Arctic Borough, AK"
87,02195,Petersburg Census Area,"Petersburg Census Area, AK"
88,02198,Prince of Wales-Hyder Census Area,"Prince of Wales-Hyder Census Area, AK"
89,02201,P. of Wales-O. Ketchikan (CA),"P. of Wales-O. Ketchikan (CA), AK"
90,02220,Sitka City and Borough,"Sitka City and Borough, AK"
91,02230,Skagway Municipality,"Skagway Municipality, AK"
92,02240,Southeast Fairbanks Census Area,"Southeast Fairbanks Census Area, AK"
93,02261,Valdez-Cordova Census Area,"Valdez-Cordova Census Area, AK"
94,02270,Wade Hampton Census Area,"Wade Hampton Census Area, AK"
95,02275,Wrangell City and Borough,"Wrangell City and Borough, AK"
96,02280,Wrangell-Petersburg (CA),"Wrangell-Petersburg (CA), AK"
97,02282,Yakutat City and Borough,"Yakutat City and Borough, AK"
98,02290,Yukon-Koyukuk Census Area,"Yukon-Koyukuk Census Area, AK"
99,04001,Apache,"Apache, AZ"
100,04003,Cochise,"Cochise, AZ"
101,04005,Coconino,"Coconino, AZ"
102,04007,Gila,"Gila, AZ"
103,04009,Graham,"Graham, AZ"
104,04011,Greenlee,"Greenlee, AZ"
105,04012,La Paz,"La Paz, AZ"
106,04013,Maricopa,"Maricopa, AZ"
107,04015,Mohave,"Mohave, AZ"
108,04017,Navajo,"Navajo, AZ"
109,04019,Pima,"Pima, AZ"
110,04021,Pinal,"Pinal, AZ"
111,04023,Santa Cruz,"Santa Cruz, AZ"
112,04025,Yavapai,"Yavapai, AZ"
113,04027,Yuma,"Yuma, AZ"
114,05001,Arkansas,"Arkansas, AR"
115,05003,Ashley,"Ashley, AR"
116,05005,Baxter,"Baxter, AR"
117,05007,Benton,"Benton, AR"
118,05009,Boone,"Boone, AR"
119,05011,Bradley,"Bradley, AR"
120,05013,Calhoun,"Calhoun, AR"
121,05015,Carroll,"Carroll, AR"
122,05017,Chicot,"Chicot, AR"
123,05019,Clark,"Clark, AR"
124,05021,Clay,"Clay, AR"
125,05023,Cleburne,"Cleburne, AR"
126,05025,Cleveland,"Cleveland, AR"
127,05027,Columbia,"Columbia, AR"
128,05029,Conway,"Conway, AR"
129,05031,Craighead,"Craighead, AR"
130,05033,Crawford,"Crawford, AR"
131,05035,Crittenden,"Crittenden, AR"
132,05037,Cross,"Cross, AR"
133,05039,Dallas,"Dallas, AR"
134,05041,Desha,"Desha, AR"
135,05043,Drew,"Drew, AR"
136,05045,Faulkner,"Faulkner, AR"
137,05047,Franklin,"Franklin, AR"
138,05049,Fulton,"Fulton, AR"
139,05051,Garland,"Garland, AR"
140,05053,Grant,"Grant, AR"
141,05055,Greene,"Greene, AR"
142,05057,Hempstead,"Hempstead, AR"
143,05059,Hot Spring,"Hot Spring, AR"
144,05061,Howard,"Howard, AR"
145,05063,Independence,"Independence, AR"
146,05065,Izard,"Izard, AR"
147,05067,Jackson,"Jackson, AR"
148,05069,Jefferson,"Jefferson, AR"
149,05071,Johnson,"Johnson, AR"
150,05073,Lafayette,"Lafayette, AR"
151,05075,Lawrence,"Lawrence, AR"
152,05077,Lee,"Lee, AR"
153,05079,Lincoln,"Lincoln, AR"
154,05081,Little River,"Little River, AR"
155,05083,Logan,"Logan, AR"
156,05085,Lonoke,"Lonoke, AR"
157,05087,Madison,"Madison, AR"
158,05089,Marion,"Marion, AR"
159,05091,Miller,"Miller, AR"
